Issue Type,Summary,Description,Status,Labels,Labels,Epic Name,Epic Link
Story,MySQL→Supabase 遷移＋退役 Pinecone,"pg + pgvector halfvec(3072) + HNSW。注意：transaction pooler:6543、migration ledger 回填、enum/extension 衝突。已拍板排在任務耐久化之後。缺 Supabase keys（貼 Railway）。",Blocked,needs-key,caution,,Wave 3 重後端/基建/協作
Story,presence＋Redis SET NX 生成鎖,"並發生成不互踩。依賴 Redis。",To Do,,,,Wave 3 重後端/基建/協作
Story,Yjs/Hocuspocus（腳本）＋tRPC subscription（Shot JSON）,"雙人即時編輯不丟字。",To Do,,,,Wave 3 重後端/基建/協作
Story,XState 收斂,"只留段落/鏡號狀態機，其餘移除。依賴 M3。",To Do,,,,Wave 3 重後端/基建/協作
Story,可觀察/可審核/半唯讀 builder,"代理建置區第一階段。",To Do,,,,Wave 4 代理建置區/BYOMCP
Story,BYOMCP 權限/稽核,"使用者自帶 MCP 的權限模型與稽核。",To Do,,,,Wave 4 代理建置區/BYOMCP
Story,orchestrator＋專責 worker,"代理編排與專責 worker。",To Do,,,,Wave 4 代理建置區/BYOMCP
Story,決策紀錄：prompt↔asset=junction,"已拍板並落地（PR #864、migration 0075）。",Done,decision-resolved,,,Wave 1 SSOT+接線
Story,決策紀錄：LoRA 改走 fal.ai,"保留 Replicate 備援。已拍板。",Done,decision-resolved,,,Wave 2 耐久任務/成本/血統
Story,決策紀錄：halfvec(3072)+HNSW／自建 JWT／Supabase 排後,"後端方向已拍板：向量 halfvec(3072)+HNSW；維持自建 JWT；Supabase 排任務耐久化之後。",Done,decision-resolved,,,Wave 3 重後端/基建/協作
Story,避雷備忘,"Sora 2 已停用勿用；OpenAI 可重用 prompt 物件 2026-11-30 下線勿硬綁；影片價以 fal 帳號頁為準；本機 jsdom29+vitest2 localStorage 失效（main baseline 13 failed 為既有問題）。",To Do,caution,,,Wave 1 SSOT+接線
